gene	aka	module
MED8	Med8	head
SRB6	Med22	head
SRB4	Med17	head
SRB5	Med18	head
SRB2	Med20	head
MED6	Med6	head
MED11	Med11	head
ROX3	Med19	middle
SRB7	Med21	middle
SOH1	Med31	middle
CSE2	Med9	middle
MED7	Med7	middle
MED4	Med4	middle
MED1	Med1	middle
NUT2	Med10	middle
NUT1	Med5	middle
RGR1	Med14	scaffold
MED2	Med2	tail
PGD1	Med3	tail
SIN4	Med16	tail
GAL11	Med15	tail
